"estdepartureairport","estarrivalairport","flights"
LOWK,LEPA,1
ULLI,LIMN,5
LLMG,LLSD,1
KTUL,KTKI,2
EDDB,LIEE,2
KPDK,KCQX,1
KANE,KCBG,2
"9CO2",KFTG,1
"19NK",NY31,2
KBLM,NJ47,1
SBCO,SBJD,1
CYXX,CYYJ,3
LIPN,LILV,2
"7OR7",OR90,2
EGLC,EBAW,1
KCPS,"7IL3",1
KBWI,KXSA,1
KOAK,KE16,2
KLAS,KT00,1
EPKK,EDDL,8
KLAX,KCLT,11
EDST,EDTQ,1
YSBK,YWLM,7
KPTK,KCMY,1
KADS,"1XA1",1
ESGG,ESNP,1
YBOA,YSPT,5
K5B2,KSCH,2
KIND,KHPN,1
KGRB,KANE,1
KTPA,KLAL,1
LEAL,EBAW,4
"62IN",KOKK,1
KFOK,"3OH5",1
MY95,"56MO",1
NZAR,NZLD,1
KPHL,"17FA",1
LPFR,EGTE,1
YBEV,YPJT,2
KJFK,KPNE,1
KEDC,KAUS,1
KPWK,KARB,1
KMHV,KL71,3
KSJC,CA71,2
KBCT,FA18,1
KLAS,KADS,1
LHBP,ENKJ,1
KFOK,KBID,1
FAYP,FAWK,2
"71KY","81GA",1
KORD,"02ME",1
KIWS,KDFW,1
CZBB,CYCD,2
"7CO5",KAPA,1
LOWK,LIPE,1
"0OH9",KENW,1
KWLW,KCRQ,1
WI62,WI78,1
"0FA1",KTPA,1
KSCH,"57ME",1
KORE,KBED,1
KO69,KO22,2
FD81,GA92,1
KSFZ,MA72,1
"1CD2","1CD2",1
"3VA0",VG12,1
WBKK,YPPH,1
EGHN,EGUO,1
KHND,KCOE,1
KJWN,KLHQ,1
KLAX,EDAM,1
KERI,"3PN6",1
KBWI,"34CO",1
EGPH,EGNS,1
TA59,KDTO,1
CYKF,CNQ4,1
"38CL",KIAD,1
WV28,KORD,1
KAFW,"3TA7",2
KMRB,VA46,1
FAWB,FABS,1
EDWI,EHTE,1
KFLD,KMDW,1
LHTL,LHPR,1
LKVO,EGCC,1
RJAK,EKCH,1
LGSR,ENGM,1
"11MO",KSUS,2
KDPA,KAMW,1
EDBM,EDUW,1
LEBL,EYVP,3
KC47,KHXF,2
LEPA,LKPR,1
"2OA7",KI69,1
EDFC,EDRF,2
EDWH,EDWN,1
LFPG,LIAR,1
CA07,KSFF,1
KMTN,KMMK,1
KIND,"16MD",1
LIMF,EIRT,1
MD48,"3NJ6",1
KDEN,KJKJ,1
EDDF,CYND,1
CT11,JY43,1
EPWA,LBSB,2
KLWC,KRVS,1
KDAA,KLOU,1
KSAF,KTKI,1
MA52,KPYM,2
KSDF,EINN,1
KSAT,"60MI",1
KFLL,"1AZ2",2
KBTP,KFKL,1
KSDF,"1WI6",1
"34CO","7CO0",1
KGNV,"80GA",1
EBAW,EGNV,1
CNC3,CYFD,1
KSPI,IS65,1
LJLJ,LFST,1
KMCC,KS03,1
SBJD,SDAM,1
KRDU,KW40,1
"4II2",K2R2,1
KMMU,KMVY,1
EGXP,EGXP,1
EHAM,EDMO,1
"6MI3",CYKZ,1
WT77,WT77,3
KTIW,KBLI,1
KTUL,KPVU,1
CT13,KHYA,1
CSJ4,CSE4,1
EGGW,EPWS,3
KMDW,KMKE,2
LFNR,LFNF,1
KMSN,"9IL7",1
KXBP,"3TX2",1
"3TX2","4XS2",1
KIAH,"01SC",1
KTTD,WA63,1
MA52,KASH,1
EFHK,LKLT,1
KTPA,KSVN,1
EGTF,EGLC,1
KMDW,"08IS",1
KMYF,KSJC,1
LFPB,EDLN,1
K3R9,"7XS7",1
LHDK,EDKB,1
LIPO,LSZH,1
KLCQ,"8FD2",1
KPTK,KMSN,1
KOQN,PS46,1
IA21,KOXI,1
EDFZ,EDFE,2
KLAF,KY51,1
KI54,KI69,1
LIMC,LIPO,2
EPJG,EPMR,1
KFDK,VA62,1
CN13,KWVI,1
VIDP,VIBN,1
EGGW,RI07,1
"54KS",SN22,1
"1TN3",KCEW,1
"52OR",WN80,1
KCLT,"86MI",1
LEPA,LFXQ,1
KCOS,AZ63,1
KSDL,"23AZ",3
KDVO,KOAK,3
"7IN3","30LL",1
CYYZ,CYTZ,1
CO82,K11V,1
LIPV,LSPV,1
EDDT,LTBS,1
TE95,KCLL,1
KIND,II40,1
KCHO,KIAD,2
KSAN,KSLI,1
UMKK,UUBW,1
EDDH,LICZ,1
"41TN","8TN6",2
K2W6,KCMH,1
"68MI",KVNY,1
WI97,WI97,7
"89LL",KDPA,1
LIPZ,LEMH,1
"9MN6",KFCM,1
KPDK,KHXD,1
"2AZ7",AZ90,2
KFFZ,KLAS,1
KENW,"9WI4",1
KF46,"4TX3",1
KAPA,CD14,1
EPKT,GCRR,1
K8T8,"53TX",1
KGCM,MO79,1
"04TX",TX82,1
"2CD3",K1V6,1
KTEX,KSAF,1
"18AZ","19AZ",1
SC34,"33GA",1
"0AK2",PAMR,1
KC09,K06C,1
KIWA,KTOA,1
EGNT,LOWS,1
KSDF,KC15,1
KX39,KLAL,1
WV21,KDCA,1
EDQA,EDQE,2
PA58,"62PA",1
KSNA,WN51,1
KHHR,KRHV,2
EDDK,EFHK,1
KIAG,KFLL,1
KPWK,"0IA3",1
K3CK,K3HO,1
KORL,"71MI",2
KTTN,PN35,1
KIAD,XS89,3
KLOT,KIAH,1
KEST,II18,1
CNF3,CYMX,1
OTHH,OKBK,1
"0CL6","02CL",1
KISP,JY43,2
KOEA,KEYE,1
SBSJ,SDFH,1
KLAS,MGGT,2
KORD,"05II",1
KSLC,KBED,1
KHOU,KFRG,2
LSZQ,LSZF,1
"5PN8",KLDJ,1
EDDL,LFJL,1
NH60,KMMK,1
KBFI,KHWD,2
KJYO,KHEF,1
KSGF,"7NY6",1
IN61,"68IN",1
FD89,K2R4,1
KCPS,KGRE,1
K5C1,KTKI,1
KMKG,KSUS,1
ZGGG,VOMM,1
"04IA",IA61,1
EPKM,EPPC,1
KCDW,KHVN,2
KBQR,KUYF,1
"3TA7","62XS",1
KMQY,"2TN8",1
KDEC,"2AZ7",1
KMDW,"8OH5",1
KGSP,KFTW,1
K7F5,"1TA7",1
KECP,KPDK,2
EGLF,KIAD,2
KLEB,KN71,1
KLOT,KFWA,1
K1F0,KTUL,1
KSMF,"1AZ2",4
KSAT,MO88,1
"3IL2","85LL",1
LPCS,LIBD,1
KDEN,IG07,1
"4MI3",KHLM,1
RJAK,KJFK,1
KLGB,KAFW,1
CYYZ,EGPG,1
KC83,KRNO,1
ELLX,LIEE,1
RJAK,KDFW,1
LFBG,LFOJ,1
KSUS,KPMP,1
"09NE",KHNR,1
KTPA,KPMP,2
PA61,KAGC,1
EKAH,LGSA,1
OLBA,EGGW,1
KMDW,KFXE,1
KN87,KN14,1
EDDM,LTFE,2
KOMA,KAIO,1
AZ90,KPAN,1
KDMW,VA79,1
LGRP,LFPD,1
KCRQ,KEMT,2
KORL,KSVN,1
MRCZ,K54T,1
"26OG",KSAC,1
PANC,"6AK5",1
"4PA0",VA68,1
KMCE,KO27,1
"3IA9",KMCW,1
KSTL,KK52,4
KBED,RI07,1
KSTC,K1H2,1
KUYF,KI69,1
KJVL,"35WI",1
KOKM,KBVO,1
PA84,PN73,1
"44MU",KDFW,1
KNFJ,KCLW,1
EDFP,EDFM,1
LIML,LIMP,1
KLGB,KBWI,1
EDHL,EDXF,1
KBNA,KHYI,1
KDAL,"9XS4",1
WA29,KBVS,1
"09NC",VA65,1
KGEG,KUAO,1
LFJH,LFMZ,1
"04ID",KEUL,1
"56TX",K5C1,1
KHEF,KLZU,1
EDWN,EDWS,1
ESSZ,ESSE,1
PAMR,PAGQ,1
KF31,KGYI,1
KOWD,K3B0,1
KALN,"7IL3",1
"7WI6",KC29,1
OEDR,OETH,1
LFBE,EGCC,1
KCRG,"67FL",1
FL84,"67GA",1
EGLA,EGLA,1
KLEE,KGIF,1
KALN,"3LL1",1
EPBD,EGSS,1
EHTE,EBLG,1
CL36,KU42,1
KSUS,MO81,1
KMTN,KHFD,1
K10C,IL05,1
"02WA","1WA6",1
KCXY,KHPN,1
KX07,FA83,1
KMKC,KISM,1
KCLT,CYVR,1
KHFD,KFRG,1
YPPH,YMUL,1
EDDH,EDGI,1
SC32,"4SC4",1
KNBJ,AL33,1
KUNV,KMDT,1
"0TS4",TS50,1
KLOU,KASG,1
KAPC,KLGB,1
KCVG,CYHM,1
KPDK,"9IS9",1
KADS,KTYQ,1
LFJR,LFDL,1
KPHX,KL88,1
KMKC,KC91,1
LDZA,EDNY,1
K10C,WI62,1
EIDW,LICP,1
KMGG,KANE,2
FAOR,OERK,1
KCMH,KGRB,1
KTEB,KGYY,1
KBUF,"1IN5",1
MA72,CYUL,1
KWHP,CL25,1
YTDN,YMMB,32
KSMO,"0CA3",1
KORD,KEWR,83
LGIR,EGCC,15
CYQB,KORD,11
KAPA,CO18,10
KPHX,KRIR,66
SBGR,SWJX,28
RJOO,RJOM,20
K1B2,KMVY,3
KPUB,KPUB,412
EGSJ,EGSJ,5
EDDL,UKBB,6
VAPO,VOBL,81
KCRQ,KCRQ,309
KORD,KTPA,39
KPHL,"51GA",14
KORD,"73MU",10
WMKK,VTBS,72
KTPA,FD83,4
LHBP,LFLL,3
LSZM,LDSP,1
NZKF,NZWP,4
EGHF,EGHN,1
WBKL,WMSA,2
OR81,KSLE,1
KDCA,KLAX,26
KATL,KPHL,119
LFPG,KORD,27
UUEE,ESSA,15
EIDW,EDDT,14
KORD,KSTL,90
LEMG,LFPO,16
UUDD,UIII,28
EYPA,EVRA,4
KORL,KDFW,33
KIAH,KPDX,11
KRYY,"5GA4",2
KSMO,KSQL,8
EGPH,LFPG,31
EHAM,EPGD,8
"2TE6",KSSF,1
KN57,KPTW,1
KPDX,"43OR",12
KCLE,KPWK,5
KSWF,KDTW,6
KCLT,KVPS,23
KPDK,KLZU,2
EGKK,TBPB,11
VMMC,VTBD,25
KBUF,KBOS,39
LIPZ,EBMB,13
EKCH,ENGM,137
KPHL,KHVN,4
KEYE,II76,1
EDTF,EDTG,1
KMCI,KRDU,5
KRDU,"66NC",6
KMCE,KCCR,1
KMSN,"25GA",11
KCBF,KORD,2
ELLX,LPFR,5
YLIL,YMMB,6
KFDK,KDMW,5
SBKP,SDYJ,6
"6MD4","8PA0",1
KGYR,KE63,2
CYYZ,KDFW,44
KCLE,"25GA",26
CYOW,CPR2,1
LFRS,LFNR,3
KSEA,KCMH,8
KLGB,KBTF,14
KFTW,KFTG,1
KDFW,KMCO,29
EGLL,ENGM,48
KMTN,MD70,1
LSGG,EGLL,71
KU42,KDFW,43
KMYF,CA75,1
TXKF,KTEB,7
KDAL,KSUS,8
LFBD,LFPO,24
SDAM,SBBR,8
OERK,OMAA,23
KIAD,KSDF,15
YSSY,KLAX,31
KHIO,OR38,10
LIPE,EGSS,18
YBCG,YMHB,3
KDEN,KTYS,14
KBJC,KAPA,23
KT67,KT67,33
LEBL,EKYT,2
OR28,OR90,3
LSZM,LIPZ,9
EDDF,LIRF,40
EGPF,OMDB,14
KBAZ,K5C1,2
KJFK,KBUF,60
KDFW,KTUL,60
LGIR,EDDK,12
EBMB,LDZA,4
EIDW,LSZM,5
YSSY,YSBK,9
KSLG,KMO6,1
EKCH,LIMN,11
ENHD,ENZV,6
KLCK,"4IL3",1
KSYR,KBOS,3
KEWR,KBWI,16
EDDB,LTFJ,15
KX05,KX05,6
RCKH,RCWA,129
EDVE,EDVE,10
KHEF,KOMH,2
KOAK,KBOI,17
KIAD,VA72,1
KROA,"07KY",4
YBBN,YBBN,19
EGDM,EGDM,36
LFPG,KBOS,18
KDPA,KTEB,3
KLDJ,KLAX,8
KDFW,EDDF,17
KBUR,KDAL,7
UUDD,VIDP,2
KAPA,CD28,2
KLNS,PA73,8
EGHH,LKVO,2
K29D,OH24,1
KU42,KBUR,23
EGAC,EGCC,3
LIME,UUWW,7
LIMC,LKVO,19
LFBD,EDDF,4
LSZM,LFEZ,1
LIMC,LTBW,28
YSRI,YSRI,13
FL84,K06C,3
KC15,WI95,1
EDDF,KPHL,7
FD90,KVQQ,2
KGNV,FD81,17
KGAI,KCLT,1
NZAA,NZWR,20
ESSA,LEMG,18
"20TE",KRBD,1
NZWM,NZWM,5
EDDH,LIRF,5
KCOS,KLIC,1
EDNY,LGIR,1
KFUL,KRAL,9
EGTO,EGBK,1
"35OR",OG34,1
KTUS,"1AZ2",4
EDKB,EDFE,4
KLGA,KXSA,5
KSCH,"71MI",1
"37AZ","37AZ",2
KCLT,KVPZ,1
PA47,"6VA4",1
KNFG,KWHP,1
"04WA",KBFI,4
LFLU,EDDH,1
KDVT,AZ57,1
KIAD,KBFI,2
KBUF,"71MI",3
KCLE,KBNA,18
NY89,NY89,2
"77PA","0PS4",2
PANC,K06C,11
KBTL,KBTL,6
EGAA,EGNT,16
KTYS,KORD,31
KPIE,KLAL,2
KDCA,"0OH9",1
LHBP,EGLF,2
KSDF,KVPS,2
KORD,LL61,9
KMSN,KDEN,2
MU48,KSUS,2
KHMT,KRIV,4
CYVR,CZBB,1
LIMC,EGPH,8
EDDL,KLDJ,2
LEBL,LMML,9
LIBD,LEBL,4
KLAS,"1AZ2",8
KMSP,KMSP,17
EHRD,LGKO,2
TA05,KADS,1
EPWR,EGSS,4
LJPZ,LSZC,1
LIPH,LIEE,1
TS61,KFTW,2
KLGA,VG29,1
KCLT,KAKH,7
LDPL,EIDW,3
LIMC,OETH,1
KJCT,"8TX2",1
VTBS,EDDM,14
KCMH,KMIA,4
KBED,LSZM,1
EIDW,KDFW,7
OERK,OMDW,2
KLDJ,CYTZ,4
"01FL",NC06,1
UT08,KCDC,2
"5TX0",K07F,1
OA16,KLDJ,5
KHND,"18AZ",2
"47FD","80GA",1
KDFW,KGNV,1
KMYF,KFFZ,3
TN20,GA67,1
"78MI",CYUL,10
EHAM,LJLJ,6
LKPD,LKPD,30
KISM,"58FD",3
"7PS7",KN71,4
KDTW,KI67,2
KJAX,KDEN,2
MA55,MA66,1
"5OR5",KADS,1
ESSA,EGPH,4
"03NY",KFRG,3
KPHX,LL22,4
LTFJ,LFPO,5
KMCE,KLAX,5
KPCM,KPCM,10
DE07,"23DE",1
KCWI,KMSN,2
KTUS,TS53,1
EDVE,EPPO,1
EGCN,EGNX,2
KCMH,"60CO",7
ENBR,BIKF,2
KOWB,KSTL,2
KHFY,KEYE,1
EBCI,LILQ,1
"21FA","34FD",3
KABQ,TA65,1
KMCI,MI52,1
"23FL",K4J6,1
"8NK4","2NY4",1
PN25,PS66,1
KRDU,KISP,3
KPIE,FL97,2
CYUL,KJFK,24
KCMA,KOAK,5
"25SC",FL97,1
LL59,LPPT,3
LFRN,EGMC,9
KRNO,KORD,19
KSDF,"6NA2",2
KSFO,KBUR,52
EBBR,LEMG,17
RJOA,RJTT,64
KORD,KBKL,41
EDDM,KSFO,14
KSDF,KFTG,15
KPHX,KBUR,77
VAJJ,VOBL,34
KDAL,KSEA,28
"05MD",KMTN,6
KTUL,"5LL5",1
KOPF,KBNA,5
KMYF,KCRQ,13
KSEA,KPHX,102
EFHK,EKCH,75
KPHL,KCMH,41
KIAH,KDWH,10
KIAH,KSAT,42
KONT,TS53,6
KRDU,KHBI,2
ESSA,ESGG,89
LEMD,EIDW,43
KHPN,KJVL,1
"5GA4","5GA4",3
KLVK,KMER,1
KRDU,KDFW,38
CYUL,CNV9,9
LGRP,EHAM,11
RJBB,RCTP,148
KMKC,KSUS,17
"6XS9","6XS9",3
"6FD6","8FL2",3
EDAM,EDDS,8
KSJC,"07KY",3
"4MI4",KORD,15
EBMB,LSGG,12
LEBL,OTHH,21
EFHK,EETN,31
KTEB,"7NC6",2
KPDX,KGEG,13
EGKK,LGAV,13
EKCH,KLAX,3
LIME,LIRF,18
"2AL7",KMDQ,3
KPRC,KCMR,8
UUEE,UWLL,20
EDDH,UUEE,14
WA56,KBLI,1
KMSP,KLAS,72
"20AZ",KCHD,4
LSZH,LPPT,31
EDDM,EGLL,86
K3T5,KLXT,1
"3CL2","3CL2",1
KTIW,KGEG,1
EFHK,EFKI,12
KTPA,"07KY",9
KJYO,KJYO,62
KDWA,KMOD,1
KATL,NC16,25
LHBP,LSGG,8
KTYS,KADS,1
EGLL,"25GA",5
EETN,EKCH,18
KAUS,KSAN,28
KBNA,KSTL,23
"3MO6",KK59,1
KIAH,KTUL,29
KIAH,KLAS,59
K5W5,KRDU,6
EGSS,LTFJ,31
KRAL,KRAL,73
AL97,"7AL9",1
KMSP,KCMH,27
KDCA,KBNA,66
"7FL4",KSGJ,2
RJOM,RCTP,2
KFRH,II34,3
KCLT,KPHX,42
RJTT,RJOI,7
"77PA",MD43,1
LGKO,EGBB,6
KSTL,KDFW,56
LIMC,LGSR,4
LGRP,LLBG,21
UUDD,LBWV,15
YWOL,YSBK,18
"71KY",CEF4,1
CYTZ,KMDW,37
CYUL,LFMY,2
KSNA,KORD,41
LFLL,LFBO,42
KIND,KDWH,18
UUWW,LEBL,10
EGCV,EGOS,5
EDDF,EHAM,75
LTFJ,LIRF,15
KSNA,KPWK,2
EDDT,ELLX,13
LFPL,LFPE,1
KIND,KSAN,8
"3TA7",KT67,5
CYUL,CSS3,1
KDFW,RKSI,12
YBBN,YMEN,4
"1ID4",KEUL,3
ENBO,ENVA,23
RKSS,RCSS,21
KSTP,TX05,2
VA42,KIAD,1
KLGA,KLGA,6
KE16,KO70,1
KIAD,KAUS,12
KMIC,KFCM,1
KBOS,MA36,10
NZCH,NZOM,18
EHBK,EDWU,1
KORD,"04II",2
CYVR,IA35,1
KXNA,KPHL,7
"14PS",KMRB,1
EHAM,LIEO,7
EKCH,LFBD,3
WN35,KPAE,1
OTHH,YMML,7
LFPG,KFLL,2
KJFK,UKBB,5
GA90,GA76,1
KPDX,"0OR9",1
KPWK,KBUU,2
KBWI,"86IS",1
KEUL,"2ID6",1
UUDD,UWWW,11
IN14,KHFY,1
"78VA",KIAD,5
KC77,KJVL,3
"35FA",KPMP,1
KTEB,KPHL,20
SBBR,SBMT,20
LL59,EHAM,10
KSNA,KATL,1
KHUA,KFYM,3
KIAD,"82PA",1
KPNS,KLKR,4
KNIP,FL27,1
KBKL,KI64,2
EGSS,LIPM,7
KHPN,VA71,1
CYVR,CKA8,11
KERI,KERI,4
YSSY,YTYH,29
KSTL,KTPA,13
KAFW,TE34,3
"4II2",KIND,1
EDDB,EGGD,7
KEWR,"5CT7",1
KJZP,KVPC,1
LMML,EGPF,2
EBMB,LIMN,6
"04TX",KDFW,4
KPHL,KCVG,7
KNSE,FD82,9
EGBK,EGTO,1
ENGM,EVRA,25
KVNY,KCMA,30
KHOU,LL22,2
GA86,GA68,1
KRYY,TA59,1
KMKE,KPWK,3
KEWR,KOPF,26
KMKE,"5WN8",1
MA55,KPYM,2
NZCH,YMML,22
KFDK,KMRB,3
EDDB,LFPG,9
EDDN,EDDW,1
KMDW,KCAE,1
LEBL,LFER,1
LIPE,LIBR,9
KADS,KFTW,7
EGKK,LIQL,5
K36U,KU77,1
KSEA,KRNO,23
GA04,KPDK,1
WMKK,YBBN,10
RJOY,RJOS,3
K7N1,"71MI",1
"25GA",KMKE,1
VHHH,EDCT,7
KFDK,PA73,4
KCLT,NY67,4
KOCQ,WS17,1
KCMI,KAKH,6
PA66,"0PA6",1
"85NC",KHYI,1
KPIE,KIND,5
KDVT,KIWA,3
LILG,KJFK,1
KGRR,WI79,1
KHND,KSMO,5
KDEN,"1CO7",3
KPDX,CA66,2
KHPN,NH60,2
WA96,KAPA,1
KNYL,KDWH,1
SBGR,LPAR,1
KIAD,OMDB,8
KPDX,KSUS,2
KOMA,KLGA,6
KHWD,KIAD,1
EDFR,LGTT,1
"1XS1",KIAD,3
LIMC,KLAX,3
FD48,"40FL",1
VHHH,VVVH,3
KFTW,EGGW,1
SBKP,SBDN,5
KS21,KBFI,1
KSDF,KLDJ,13
OA19,KDCA,1
LTBA,EDDB,1
CYYZ,KBED,7
"1PN1",OH27,1
LCRA,EGVN,3
EGGP,EGJJ,11
K2W5,KCGS,1
NZRO,NZCH,7
KJAX,KDWH,4
KO08,"49CL",1
LEZL,LPPT,19
"78TA",XS47,1
GOBD,GBYD,6
"80CO","14CO",2
KGRR,KLDJ,8
LIMC,EDKB,2
PN85,PN14,2
KHSV,KATL,2
"36NC",KCLT,2
KFTW,TX05,7
"80PN",KLAS,5
YPPH,YCBG,1
KBID,"5PA3",1
OMDB,KJFK,13
LFBD,LFBO,7
CL36,KPHX,2
"2PA6","8PA0",1
KABQ,KHND,5
KNUQ,KAPC,3
UKKM,EPWA,3
KOWD,KBID,5
"3PA8",DE34,1
LSZH,LGSR,4
CA04,KRDD,2
KSMO,KSNA,14
CYVR,KSEA,118
KTPA,KPHL,48
MO65,KBNA,2
KMMU,KBDR,2
KSDF,CYYZ,5
KDTW,KATW,17
EKBI,LTFE,1
"06WN",KCOE,1
KATL,KSAV,5
LOWW,EDDH,55
YBCG,YSSY,172
KCLT,KIND,45
EDDR,EDDH,11
LSZH,LIRF,24
KDAL,KVNY,5
KIAH,KRDU,12
LKPR,LFPG,26
KDTS,"57AL",1
LIMC,LSZM,2
KSLC,KLAS,16
KSAN,KBUR,3
UUEE,KJFK,20
EDDS,EDDH,70
UKBB,LTBW,34
KTEB,LFPB,5
KSAN,KJFK,42
EGGW,LEBL,26
LEMD,EDCT,13
LLBG,LIRF,21
KDFW,KCLT,17
LTFJ,LSGG,7
KMDW,"25GA",26
FD77,"3FL8",1
EGHH,EGHH,5
EHAM,EDDM,79
KIWA,KE67,7
CYYZ,TVSB,1
KCLT,KOPF,30
EGCC,LEMD,11
KLGA,KFTY,47
EGFF,LTBS,2
OERK,OEDF,110
KF70,KTOA,6
K9X1,KDFW,10
KLNK,KAPA,4
KJFK,KLGB,13
LKPR,EGSS,17
KCMH,KDTW,20
KJFK,KORD,58
YMML,VIDP,4
KMKE,WI95,1
KSAF,KPHX,11
KIND,"50II",3
EGKK,LTBW,14
KONT,RCTP,7
KMCO,KEWR,72
EFOU,EFHK,67
EINN,KJFK,19
KOAK,CA39,5
KEWR,LFPO,13
LKPR,EGPH,4
RJBB,WMKK,14
KFLL,KBOS,57
KMDW,"07KY",7
KMSS,KBOS,9
KDEN,KONT,8
KDEN,KSAF,20
LHBP,EGKK,16
EPWA,EBBR,11
KDWH,KOAK,1
KLAS,KPHL,41
KLAS,CYYC,25
EGNP,EG3L,1
LEAL,EIDW,16
EGTR,EGTR,36
LOWW,KLAX,7
KISP,KIAD,1
EGPH,KIAD,7
LIPD,LIPD,2
EDDK,ZGSZ,5
KMSP,MD43,8
KMDW,"49OH",5
KMSP,"7MI7",6
EIDW,UUEE,7
KSGR,KFTW,2
KPNS,KBNA,9
EHAM,EPWA,33
EGKB,EDDM,2
LEZL,EHAM,12
LEBL,LEAL,24
VTBD,YTBF,5
KHWO,"64NC",1
KSUS,KDAL,5
NK43,KEWR,7
CYYC,KSDM,1
LIEE,LIMN,21
EGSC,LFLP,1
LFKJ,LFNR,1
VHHH,KLDJ,2
NZAA,YBCG,14
EPWA,VHHH,4
KFHR,KLVK,1
"20SC",KIAH,3
EIME,EFHK,1
OTHH,EGKR,2
"2IN2",KDFW,1
KBOI,KLVK,2
"1VA9","3PN9",1
KMYF,KL35,7
GA53,GA53,17
KDWA,KDWA,7
KGYY,KBFI,1
KMSN,KUES,2
"00ID",WN61,1
EGCC,LIMC,6
CYYZ,KOPF,19
LIPQ,LIRF,17
LIRF,KDFW,5
KTYQ,KDCY,1
SAEZ,EGLL,5
KAUS,KSUS,2
LGRP,EKBI,5
KHND,KAPC,2
LOWS,OMDW,1
OMAA,EBBR,6
KLAS,KLSN,1
KBOS,"50NC",1
KERV,KT92,1
"7NC3","7NC3",2
K29D,KBVI,2
LPFR,EGGD,25
"7PS7",KLGA,16
IA35,KU42,1
NJ74,KLOM,1
K1B6,KFMH,1
MI26,KY47,1
KMQY,TN20,1
EGNM,LEMP,2
KTUS,KSJC,4
KTPA,KSFO,8
KSTL,KATL,4
KSET,KMO6,2
"09IN",KCMI,1
OTHH,VIDP,27
YMLS,YRED,1
EKBI,EKRK,2
KE63,KFFZ,11
KAUN,KAUN,47
LOWW,EGPK,1
OERK,LTBA,2
EGCC,LEMP,2
LKPR,ULLI,3
KGCM,KGCM,4
KBOS,"1WI6",7
KVGT,KSAF,2
CT52,KLGA,3
ELLX,LIME,4
EPKT,ESKN,4
LFMK,EGNX,2
"4IN4",KLAF,5
"4OI7",KIAH,1
LTFJ,LIPZ,4
EDDH,EFOU,1
CHF2,CYTZ,39
KMCI,KORL,3
YBAF,YCDS,2
"4MI3",KGRR,2
KSMF,KDTW,3
EHAM,OMDB,27
KLAS,RKRB,1
"4GA6",KTYS,1
KI34,KI34,2
KARB,KFXE,1
KPTK,KARB,1
KC77,"0TX8",1
"8MN1",KANE,1
KSGJ,KDFW,1
OH93,KLUK,1
KAUS,"60MI",2
KLGA,"82PA",7
EDDN,LGIR,8
NJ74,KABE,1
WV17,KJYO,1
KSJC,KFTG,3
EGFF,LEMG,5
KBUR,KBTF,4
OR38,KHIO,10
FD04,KUOS,1
KAPA,CD20,1
LMML,EYVI,3
KAJO,KTSP,1
KSEA,EGLL,17
KMIA,KLGA,19
KEDC,KSNK,1
KSPG,KCLW,2
KSJC,KPVU,4
ENUL,EGGW,3
ULLI,LTBW,9
NZWN,YBBN,8
SSJC,SBST,1
"3MD4","3VG3",1
KLAX,RKRB,3
KMCO,KATL,2
KDFW,KSPI,10
LEMD,LYBT,3
KBOI,"04ID",4
KMSP,KSPI,1
EGKK,LCPH,11
CYTZ,CYTZ,5
LJLJ,EHAM,6
EGSS,EPKT,7
KHND,KTEB,1
CSJ4,CYND,2
EHAM,ESMU,2
KT74,KRBD,1
EDQH,EDWP,1
WMKK,RPLC,7
KSTL,"7MI5",2
LSZH,UUEE,16
EDJA,LYBT,2
LFPO,LTFJ,11
BIKF,EIDW,1
LLBG,VHHH,7
"35FA",KSRQ,1
KLVJ,"73TA",1
CA04,KOXR,1
CSN7,CSU3,1
VIDP,VEGK,21
OTHH,RPLC,7
EGPH,ESGG,3
KCCR,KSMF,1
LIPZ,OMDB,7
"61OH","61OH",2
KABQ,KU42,6
LOWW,LGIR,14
LDZA,LTBW,14
"4OI7",MI52,1
KAJO,KFUL,13
KADS,K06C,1
RCMQ,RKSI,5
KHND,KDVT,2
KBED,KMSP,1
KFFZ,"29AZ",1
KTEB,KPOU,1
LFJR,LFPV,1
"9WN4",WI77,1
TA57,"9XS1",1
EGBB,LGIR,8
KRVS,KF10,1
LFJR,LFST,1
KSTS,KBFI,2
LKPR,LIMN,4
LMML,LICB,4
KBOI,KHWD,2
LHBP,EDDL,12
KFCM,MN85,4
KCBF,KMDW,4
"1TS2",TA57,1
KLUK,"77OH",3
LSZH,LIRA,2
EHAM,ZUCK,2
"69PA",KROC,1
"45OH","77OH",2
KMOD,"67CA",2
LFBO,LFPV,60
KDFW,"8TX7",2
OTHH,LROP,4
LEBL,KPHL,6
KBDN,KTTD,1
"78MI","6NY3",2
KMDW,CO12,5
"79OH",KFRG,1
LRSB,LEMD,3
NY09,KCGS,1
NJ20,KMJX,1
KLGA,KFRG,1
LIPH,LIBR,6
K06C,KC09,1
KGAI,K19N,2
LTAC,VIDP,3
"78MI","3PN3",2
LDPL,ENGM,2
EDPA,EDRS,1
EGNP,EHAM,10
KMDW,KSNA,4
YCCA,YCCA,1
EGCC,LSZM,7
EPDE,EPMM,2
K9X1,KBKL,5
KIAH,KOMA,8
LIEE,EDDM,5
KCLT,KW91,1
"97KS",SN69,1
"7IS9","7IS9",4
XS70,K52F,1
LSGG,EINN,1
LFLY,LFAV,1
EGNE,EGNX,2
K9X1,OTHH,1
EGGD,LROP,1
LBWN,LKVO,4
EDFC,EDSB,1
