"estdepartureairport","estarrivalairport","flights"
LFMN,LKPR,14
"6MI7",KC04,1
K12N,KCDW,9
"4OA8",KI73,1
KPWM,KMHT,3
LIMC,EPWA,16
EPWA,LIMN,9
EGPH,EKCH,21
KMSP,KTEB,8
KLUK,KMSP,3
KX26,KMLB,13
KSNA,KSCK,5
KSLC,KOAK,48
LIML,LIRZ,3
KMKE,KAIG,2
PASW,"14AK",1
KPHL,EIDW,14
KATL,SKMA,4
KROC,KBUF,9
KGEG,KSMX,1
KAEJ,K1V8,2
KBJC,KSBS,2
KHND,KADS,1
KASG,KH35,5
KACY,KBDR,2
KBHB,KPTD,1
KPTK,KOWD,1
KBJC,KCYS,7
NZNV,NZTI,4
EDDM,ESSA,37
YMML,KDFW,3
WY05,KFNL,1
MN49,KCFE,1
KUGN,IA16,1
"13TX",KHND,1
CYBW,CFZ5,3
KSEA,NTTM,1
"8TX7",KABQ,1
KATL,"49OH",39
KRIC,KSBA,1
KILG,KRME,1
KS67,ID35,2
"1AL4",KPNS,5
KHOB,K9X1,4
KFOE,KHYA,1
KLVK,KO69,7
KPHL,CYHZ,4
K1G3,KGKJ,3
KLUK,KIAD,5
LFBD,LFRN,3
EKBI,EGSS,18
LSZH,LGTP,2
LIPQ,LIML,12
"00WV",WV28,1
KHWD,KSLC,1
KRDU,KIND,7
KSAV,KATW,2
EFHK,LGKO,3
KBUR,KOXR,2
K3W7,"04WA",1
LGMT,LGKN,12
KFFC,"3GE4",1
KAFW,"69XA",7
RKSI,RCLG,2
KMMU,KSUS,2
KFLL,KTIX,2
"33KS","3KS1",2
KFYV,"61MU",1
WA97,KYKM,5
LFRS,LPFR,7
EDTG,LSMD,2
SCTB,SCAU,1
KUAO,"61OR",1
KLNS,KCXY,2
KHWO,KMLB,3
KPTK,KMSP,3
KGYY,KGYY,11
KNGP,KMDD,2
LHBP,LFML,4
KO53,K1O4,1
LOWW,LFML,8
SBGL,SKBO,10
EGGD,EGHP,1
KATL,SC46,35
KEWR,EGLL,56
KDEW,KSZT,2
KDFW,MMMX,47
LIML,LIPE,7
EDDL,OMDB,12
KLGA,KCLE,23
KMVY,KBOS,105
KSEE,KSDM,10
TJSJ,KDFW,9
GMTT,EDSB,2
LPPT,EDDF,48
EGKB,EDDS,1
LEPA,LEAL,40
GMTN,LEAL,1
KTKI,KSLR,3
KDCA,KATL,131
SC29,"00SC",1
KBNA,TN47,1
KPTB,KFCI,3
KSEA,KEWR,49
KLGA,KORD,213
KPHF,"49NY",2
RJBB,VTCC,1
KSAN,KSAC,3
KGEG,KSEA,144
RJAH,RJBE,21
KAVL,KLGA,19
KJFK,LFPG,87
LEBL,LIMN,42
EGCC,EGLL,45
NZAA,WMKK,7
KPIT,FD38,2
KSAV,KJFK,28
"5MN0",KJVL,1
KSAV,KCLT,57
KRHV,KAJO,2
EIDW,LEBL,47
EDDF,LKPR,34
EDDF,KSEA,13
KMDT,"20FL",1
KHHR,KL70,3
CYUL,KLGA,82
NC31,NC79,1
KMIA,KJAX,33
KLOU,KFFT,2
KLGB,KFUL,9
KORD,EGLL,68
TX45,KF44,1
IN64,IN98,1
LFBO,ETSI,1
KSLC,KBOI,48
"4MO0","4MO0",2
KDSM,KDTW,22
KSTL,KPHL,20
KEWB,KEWB,86
KSAV,KPIE,3
KSWO,"0OK8",2
KPTK,TJSJ,1
KORD,KMBL,9
OR28,KBDN,4
KGKY,"91TA",2
KINJ,KGPM,12
KEWR,TJSJ,37
KDFW,KOKC,76
EDDM,KCLT,14
KENW,KENW,17
LEZG,LEHC,2
LFML,LFRK,5
KATL,LEZG,1
LEPA,EDDW,21
EGSS,LFRI,2
KLAX,RKSI,20
EPGD,ENBR,12
LIRF,EDDF,49
KCAK,KSUS,1
KASG,K5M5,1
KLKU,KRMN,2
VTBS,RJAA,75
VHHH,OMDW,27
KFSO,KFSO,12
KSEA,KRLD,7
"5MD5","5MD5",1
KPHX,KSEZ,22
KSAN,KTUS,13
CYQB,LFPG,7
KTEB,KJFK,13
EGPF,LIRF,2
KOZW,"1MI5",1
LFML,LFKJ,34
EHAM,EGPD,33
KATL,ELLX,3
YSRI,YSCB,2
TE85,KSAT,2
KMMU,CYYZ,1
LROP,LOWS,2
UMMS,UMMS,3
KXNA,KDWH,14
KADS,KCOS,2
KRDD,KSFO,26
LEMD,LFPO,90
VIDX,VOBL,6
VOBL,VIDX,3
"87PA",PN40,1
NZWU,NZAA,17
EGGD,LFPG,16
LEPA,EDDK,78
LIME,LBSF,18
LTFM,OM11,4
"4II2","20II",1
EGSS,LFMN,12
KMTW,KOSH,1
KSGH,KSGH,3
KBTA,NE54,1
KORD,KPVD,23
LSZX,LSZT,1
OJAI,LYNI,1
KIKV,"0IA6",1
MO64,K08K,1
KDFW,KHRL,11
KSAN,RJTT,1
KORF,KATL,56
KFCM,KSTP,4
KMJX,KMJX,86
KBLU,KAUN,6
KDEN,"5TX6",5
KACK,DE21,1
CYGK,CVL3,2
LTAI,LCEN,11
KFTW,"02XS",2
KGRB,KLAN,3
"2NK1","2NK1",2
VOBL,VOMM,23
"78II",KSDF,2
KAUO,KISM,1
KIAD,KSAN,28
LDZB,LWSK,4
EDDK,EDDS,5
KDNL,KAND,1
PA30,KXLL,1
KXLL,K22N,3
KIAH,MSLM,2
EHRD,LTAI,4
TE13,K5C1,4
KOCF,KDED,1
KPYM,ME08,1
KBED,"14NK",2
KATL,KHSV,46
KFLV,SN59,1
KIJD,CT36,1
EBMB,LFMN,14
LGKO,LGKN,9
OMDB,WSSS,19
LYBE,LSGG,4
LFMN,LFPB,23
KBOS,KBED,7
LFBO,LSZM,3
RJFF,RJOO,29
KMKE,"0AL9",1
NZCH,NZPM,37
KVGT,KSFO,2
WSAG,WMSA,6
KHYI,XS64,1
K1G3,KVES,1
WN51,KFHR,8
EPKP,EPKK,3
KHFY,KUMP,1
"88PA",KIAD,3
"8FL6",FD93,5
EGTC,LFBP,1
LOWS,EGKB,3
LEAL,EPKK,4
KAFJ,PS87,1
KEMT,KSEE,2
MI56,MI56,16
EDDB,LBSF,9
LWSK,EDDH,2
EGCC,EPKT,3
EDRS,ETAR,1
SAEZ,MMMX,10
KEVY,KPVC,1
KPHL,EGLL,20
EGLL,LIMC,15
LSZM,EGLL,18
KJXN,KMDW,1
KCHS,KCVG,4
WA61,KTIW,3
KSWO,KDFW,12
KOQU,CT29,1
LFPG,KRDU,5
LIMC,EHAM,48
KWBW,"2PA1",1
KORL,KPDK,6
KMNV,KTYS,4
KLAS,KSDF,24
KMMU,KBUY,2
KABE,KMDT,1
PS03,"4PA8",2
OK90,KF46,1
KLBE,KJFK,1
TS73,KSJT,1
KLAX,K06C,6
CYYZ,RKSI,7
KPHL,LIRF,8
KPOB,TX02,1
LFQN,LFQQ,3
KBED,PA22,1
KONT,MA77,2
KDEN,K1V8,1
EFHK,LIMN,11
KTTN,"4PA8",10
KLGB,"60CL",5
CNP3,CYRP,2
KDTS,FD35,2
KCFE,"55MN",1
YBCG,YRED,6
KCID,KCLT,5
KAHN,KLEX,5
KMKE,"3WI0",1
CYKF,CPD4,3
KPHL,"2NK3",1
KO69,KO20,1
KPWT,WA16,1
KBDL,KSAV,2
EPKK,EGBB,6
YWBL,YMMB,6
KFIT,ME41,1
KGKY,TA70,1
KHOU,KSDF,8
KRME,KILG,1
EPGD,LGRP,4
"4PS4",KILG,1
KVAY,KMPO,4
KMKE,KSBM,5
LSZA,EDTB,1
EPKT,EDDF,18
EGNR,EDHI,3
EKEL,EDXF,1
EGGD,EIKN,2
KSQL,CN29,1
EPKT,EYKA,5
PANC,PASN,6
K4N1,KMGJ,5
KSAC,"63CN",3
KGYY,KADS,1
KVPS,KDFW,23
KMQS,TN58,1
KRBD,KJWY,2
KAPA,KPUB,22
"8WI1",WS17,1
KCHS,KEWR,28
KN69,KFRG,10
LFBO,EGNR,4
KC29,KC29,126
KEUG,KLAX,8
KMDW,KBNA,41
KGEU,KGEU,232
KANP,KANP,90
KLUK,KPSM,1
EKCH,ESGG,27
KSBM,KSBM,28
KDEN,"25CL",6
"7MI7",MI77,1
KLAS,KORD,101
KDFW,KIAD,35
EGKK,LIRF,63
KHWV,KHTO,4
KJYO,"61VA",27
KRSV,KIKK,1
KDTW,KORD,124
EDDV,LSZH,17
WSSS,YMML,79
KSBY,KSBY,4
KPHL,KMSP,43
KSAN,KATL,53
KORD,SN46,7
KDVT,KDVT,821
KRDU,KATL,104
EDDM,LPPT,34
KMCC,KAUN,6
NZAA,NZGB,31
LKPD,LGRP,2
RJTT,RJGG,29
KBCT,FD08,17
KWHP,KOKB,4
KSLK,KBDR,1
KTEB,KSAN,4
KOAK,KLGB,37
KDAL,KDEN,60
EGLL,LIPZ,35
EGGD,EGJB,11
EDDK,LTFM,21
YSPT,YKBN,5
CYVR,KRIC,1
CEZ3,CFQ7,3
LFOT,LFEN,1
LEMD,EBCI,4
RJTT,EGLL,36
LEMD,OMDB,10
"28KS","28KS",1
EGLL,LFPO,7
EGTK,EGLK,3
KACQ,"75MN",2
KMKT,"5MN1",7
CYYC,CAM3,3
EDDG,EDNY,2
KNFW,"99XS",1
KLAX,KPDX,57
KCMA,KTOA,7
KDFW,"7IA1",1
EGLL,LEMD,90
EDDH,EDDK,18
LFBO,EDDF,23
KDAW,KPSM,10
KPWM,ME41,7
KEWR,KDCA,67
NZAA,NZPM,71
KCLW,KPIE,8
LFBY,LFBY,60
MD56,KTHV,1
KN40,KMPO,4
NC56,"8NC8",1
KAUS,KSFO,39
CKA8,CKA8,1
LICZ,LTFM,3
EDDV,LEMD,6
LJLJ,EDDF,19
KHOU,KPIT,3
KSFO,KSNA,106
EPRZ,EPWA,21
LZIB,LGRP,6
EDHF,EDHF,75
EDLW,LROP,9
LIRF,EYVI,10
KFFZ,"37AZ",9
KBCB,"4VA8",1
KTEB,KFME,1
KATW,NR40,1
OR02,KS33,1
KPAO,KHWD,2
KSEA,KBVS,1
LFRH,LFQQ,1
WBGJ,WMLU,10
WSSS,RJBB,32
LSZM,OMDB,4
KOMA,KSUS,3
KIAD,KATL,80
KAKH,KRUQ,1
KLUK,KBAK,4
KCLT,"2AR5",18
KISP,KBWI,23
LEST,LEMD,32
LFBE,EGLC,1
VHHH,RJBB,104
KHWY,KHWY,75
KFDK,KMTN,2
KDFW,KIND,17
LFBS,LFBR,3
EHEH,LZIB,3
EDDL,EDDM,86
LEBL,LSZM,30
KDVK,KLOU,3
KGNV,KCLT,16
EYVI,EPWA,34
KRDG,KORH,3
KMVY,KJFK,10
NJ58,KOBI,1
KOAK,RJTT,1
KIPJ,KPDK,1
KPTK,"76WA",1
KLAS,KABQ,46
LWSK,EDJA,5
KMVY,KHVN,2
RCTP,KSFO,52
KJFK,CT11,1
"38WA",WN35,3
LSZM,EBMB,4
EGJJ,EHRD,1
LGTS,EDLV,5
LFPG,LTFJ,13
KCAK,KCAK,29
KPMV,KBTA,2
LIPZ,LEMD,44
LFMT,DAOO,3
K52F,"2TE2",1
KESN,KPSM,2
KFRG,KMIA,2
RKSS,PAFA,1
KFCI,"48MD",1
KOMA,KLAS,18
LIPR,LHBP,4
KMCO,KBOS,78
KLVK,KSBP,1
KPWM,KDFW,7
KDPA,IS47,2
KMCI,"6NJ9",9
LEPA,EIDW,31
YWON,YMMB,14
YSBK,YSNW,1
KDPA,"56LL",3
"3AR7",KSJC,2
KAKR,KTYS,1
KSAN,KMDW,25
KRUT,"7NK7",1
RJFF,RKRB,16
RJBB,RKSS,43
CYYJ,CYYZ,21
"81NC",KMAO,1
KMKG,KMKG,23
EGSX,EGSX,14
EPRJ,EPRJ,21
EDDL,LICJ,2
KTTN,KJYO,1
KBUM,K2H2,1
LEST,EGKK,7
LFMN,EGKK,43
KIAD,KLAS,25
"06MO",KDTW,3
LFPG,LIPZ,62
RPUF,RPUF,15
"75OK",KWDG,5
LDDU,EDDF,7
KEWR,OJAI,9
OMDB,OPLA,32
KFRG,KCDW,5
KBIS,KBIS,31
KBWI,KMHT,34
LFPO,LHBP,7
LOKW,LJMB,1
KDTW,KMDT,13
NZWK,NZRO,1
LEPA,LEMH,42
KLUK,KAGC,7
KCRQ,KDVT,4
KBOS,KOCF,1
EPGD,EDDM,20
LEBL,LEGA,8
EDDB,LEAL,7
EDDS,LGTS,13
NM74,KABQ,13
"78VA",KBNA,2
KEWR,MI58,1
KDFW,TX02,24
CYYZ,SBGR,2
ESSA,ESNS,16
LEGE,EDSB,9
OMSJ,VNKT,7
KOUN,KMKC,1
KJQF,KMMU,1
KPUB,"46CO",19
KDXR,"41NK",1
KISM,KBOS,1
NZDN,NZDN,19
EGAA,LEAL,18
KLEE,KFLL,2
KMLE,"86NE",8
LFPB,EDDB,8
KBJC,KPUB,5
EDSB,LEMG,5
KCSG,TXKF,1
KRDU,KSLC,7
KBWG,KJWN,7
OG01,KONP,2
KUKF,KGMU,1
KMIA,LFPG,7
EFHK,LEMG,23
VT25,KDCA,13
EGGP,LEAL,24
LSGG,EDDB,11
UGKO,UGKO,8
KPBI,KFOK,3
KALB,"7NY6",1
KLEX,KFYV,1
KADS,KTKI,5
KORF,K2W6,3
KRDU,KCMH,5
"9NC8",K5W8,1
ESSA,CYUL,3
LFMD,ELLX,4
KEUL,KU76,3
LEMD,LIML,25
KAPA,CO00,2
KBED,KYIP,2
VT25,VT48,30
TS47,K52F,1
"4KS1",SN59,2
KLAS,KRDU,13
KMCI,KAFW,2
LGTS,EPKT,3
KJWN,"8TN5",7
KCSM,KPWA,4
"8TE7",KADS,2
KMCO,KCOS,1
VOYK,YSSY,2
KTIW,"60CL",1
KLOU,KLEX,13
KROC,KATL,20
KSDF,KBUF,10
KAXH,KF88,1
"89LL",KLOT,1
KTEB,KUUU,1
PANC,KCLM,1
"83TX",TS01,1
KPBI,KSDF,5
CYBW,CPF7,1
EVRA,ENGM,24
KTMK,KSLE,1
MN45,MN45,13
KSRQ,KCLT,28
KSJC,KBUR,86
LFOB,EPGD,8
EDDV,EDDF,34
KN40,KN87,6
KAAO,K9K8,1
KOWP,KPHX,2
KHPN,KHPN,192
KIAD,MA77,2
KRDM,KHIO,2
LPPT,EGLL,74
KOJC,"7MN3",2
KWBW,KWBW,4
KDFW,CYYZ,38
CYEG,KLAS,6
EGWU,EGDW,1
LYBE,LFOB,7
WMLU,WBKK,12
KLGA,CYUL,82
KDEN,KORD,127
LFLL,LIRF,7
"9NC3","46NC",4
KCLT,KBNA,68
LPPT,EIDW,39
EDDL,LPMA,8
EPWR,EGHH,2
KBIS,KHON,1
KDEN,KAUS,92
KDAL,KPHX,63
KAPA,KSNA,13
"8OR6",KHIO,1
PANC,"07AA",1
"28MA",KMDW,9
ENSG,ENGM,11
RJGG,ZGSZ,6
KGTU,KGTU,121
KMBS,OH45,1
KLVK,KLVK,126
KVPS,KBNA,17
WSSS,OMDB,30
VOMM,VECC,42
"5MN1","56MN",1
KCHS,KHVN,2
KDFW,KMSN,21
SBPC,SBMT,1
LEMD,EPWA,16
EKCH,ENBR,40
EIDW,LEST,7
KABI,TX00,1
KFTY,KHOE,1
KMQY,TN65,10
KPWA,KOJA,16
KDEN,KDEN,30
KGAI,KYIP,2
PHNL,KOAK,16
KLAX,KSBA,19
KCLT,KROA,55
KIAD,CYOW,21
KTEB,KLGA,11
EKEB,EKRK,1
EHAM,LMML,10
EDDB,LEPA,66
KEDJ,"1OH1",12
KAVX,KTOA,8
KPDX,KSJC,68
KDTN,LA52,3
KSAT,"7TS2",2
KHAO,"9OH9",1
NZAA,NZGS,35
EGNS,EGCC,19
KSEA,OMDB,5
KBHM,KMCO,3
EGNX,EGAA,44
EPKT,LIRF,9
LPPT,LPBJ,1
LYTV,LLBG,2
"22OI",KGYY,1
KORF,VG33,2
K9X1,KMSP,7
LPFR,EDDH,10
LDZA,LD57,9
WARR,WMKJ,1
TJFA,TJIG,12
KLGA,KISP,6
KINT,"7NC7",2
EGSS,EGSS,21
LIME,HEAZ,1
LEMG,EPGD,6
RJAA,RKSI,158
ESGP,ESGP,26
KFFZ,KPHX,3
KSFF,KSFF,170
KSOP,"4TN9",1
KFLL,KDFW,56
KCLT,KLFI,2
WS17,KMKE,1
LOWW,LPFR,5
SBPC,SDAM,1
LIRP,EPWR,5
LHBP,OTHH,1
"5MN0","47II",1
KRST,KIND,2
KPIR,SD44,1
"86TE",TA65,1
KAPC,KMOD,2
KPHX,KBTF,1
KEHO,KAKH,10
"4FL3",KCOI,1
LIML,LEPA,2
EIDW,EGNM,38
KPWM,KBWI,29
KHEF,"53OH",1
KDAL,KOMA,15
YWLM,YCNK,3
KSUS,KK02,1
KSLC,KH92,6
KLAX,KSAT,41
KPWA,KSUS,2
EDDF,BIRK,1
"36II",KUMP,1
KLWM,KORH,3
"8NC9",K2J3,1
LIRP,EHAM,11
EDDM,EDLR,17
LIRF,LEPA,12
KOZW,K45G,2
KLEX,KDTW,20
KDTW,KPDX,6
VA10,VA85,2
KNGP,KPIE,1
KIXD,KACY,1
KBWI,"21MO",2
KLAS,CA59,37
CYYZ,EDDM,12
EPGD,EHAM,25
KSBD,PHNL,5
EKCH,EYVI,19
KMCO,KCRG,1
OR23,KPDX,3
KPDK,SC81,1
EBAW,EGBB,1
EDDH,ESSA,10
LIRZ,LIME,5
LTFM,LTAI,37
LFML,EDDM,22
KRFD,KPHX,9
CYHM,CYOW,6
LSZM,LOWW,11
XA15,"97TS",1
K6I6,KRWI,1
LIPZ,EGKK,23
"1VA8",KLFI,1
NZAA,NZAA,70
"3IN7",KDFW,3
OK51,K6K4,2
KC75,KC75,6
EGNX,EGTE,5
LFAV,EPGD,2
EPKS,EPKS,1
KAWO,KBIL,1
KGKY,"8OL1",1
"4OR5","7OR2",1
NZNV,NZNV,33
K4T2,"0TS2",2
ENCN,EGHH,1
ENGM,EFHK,35
EPGD,EDLW,9
KMSY,KSDF,6
KSNC,"5CT7",5
KHOP,K1M9,7
KHVN,KMMK,2
KDEN,KPIT,13
KIXD,KIXD,36
KAIK,KAIK,9
NM02,KE80,1
EDSB,LEPA,30
CL36,KDFW,1
EGCJ,EGCJ,48
EGSS,EHEH,22
OMDW,LEZG,1
KSFB,MI60,1
KTTN,LEBL,1
"90NY","90NY",15
KBRY,KLEX,5
NC52,KEKY,1
EDDM,EDDP,8
KSNA,KCMA,15
"55ME",KPWM,1
KSMF,KSNA,37
"4IN9",KDPA,1
"2AK2",PAFA,5
CYRQ,CYHU,18
EPGD,LGTS,1
KGSH,KEYE,3
"1FA9",KX07,1
KPRZ,KLBB,2
KDCA,KPBI,2
KPWM,CYQB,1
SBGR,LPPT,3
"9NC0",KRWI,2
DE15,"11MD",1
K4B8,KMVY,2
"49CL",KNUQ,1
KTEB,EDDM,1
EDDF,LPPR,17
"4IN7","4II0",1
CL04,KRHV,5
EBLG,EKCH,5
KADS,"0TS2",1
KTTF,KIAG,1
KCDW,"08NY",3
KBOS,KHHR,3
"55CL","55CL",3
LFRS,LFMN,20
"1NK5",KCDW,7
KRZR,KCHA,21
LOWW,LFKB,1
ETSH,ETSH,20
ELLX,KORD,4
KVNY,KBNA,1
KSLC,CRK2,1
EBMB,OMAA,1
LSZH,KLAX,7
LMML,KMIA,1
KPHN,KLYV,1
"8TN5",KBNA,1
KSDF,KBIL,8
TS87,"78TA",1
KPNS,"7AL9",8
KHPN,KBWI,12
TA33,"46TX",1
VT48,"6NJ9",3
XS39,KLAS,11
EGFF,EGTU,2
YBWW,YBAF,3
KORD,KMSY,22
KTPA,KMSY,17
"66MI","6MI6",1
KATL,KF45,8
KSLC,KU10,6
"28OH","6OH7",1
KMDW,KOKC,11
KFFZ,KAEG,1
KTUS,KDYS,1
CYTZ,CNQ3,2
KLUK,KILG,2
KORD,"7II7",5
KOMA,NE59,1
KPDX,KBUR,21
K11V,KGXY,2
KSNA,KFTY,1
KONT,KPDX,19
"88OK","6OK9",2
MD00,KEVY,1
"4CL3",KMYV,1
LFML,LFRS,23
PA70,PN85,1
KRYY,KELK,1
KO05,CL56,2
KGRK,"19TX",1
KY70,KAMN,1
KPCM,"5AL1",1
SPJC,KLAX,15
LGTT,LGKN,3
KEMT,KTOA,9
KADS,TX15,1
KIAD,"42VT",5
KFSD,KIEN,1
EDDS,ETAR,1
KSVN,KRVJ,2
WS14,"3WI3",1
KTYS,KMSN,1
KWRI,KCSG,1
CYEG,CYHZ,3
KBFI,KMCC,1
KRDU,KPHX,9
KBOI,KS39,1
"4TX8","8XS6",1
KRND,"13TE",1
LFLC,LFMT,1
KJFK,KDTW,28
MO16,MO16,1
"8AK6",PANC,15
LTFM,LTBK,3
KMGM,KMVC,2
KDFW,KRAP,24
"8TE1",KSAT,1
KBVY,"4PN7",1
ESOE,EKCH,5
"0OH9","1OH7",1
EPRJ,EGVN,4
KHRL,XS67,1
KMKC,"2MO9",4
EDDB,EYVI,9
KAPC,KSGR,1
EBMB,EFHK,16
KLVK,KEDU,3
KLAS,OG21,1
KHFD,KWWD,1
CYYZ,KTPA,10
WSSS,NZAA,22
KDBQ,"15IA",5
KDAL,KOKC,5
KDTN,K3R4,1
"16XS",KDFW,1
KSAF,KYKM,1
KTTN,"8NJ0",1
LZKZ,EGGP,2
KSJC,KHOU,6
EBMB,LGSM,1
KDAL,KMSP,4
EGBJ,EGBW,3
KSEA,KSTL,23
KBNA,KMLI,1
KFWQ,"61NJ",1
"19WA",KSLE,3
KF53,KTKI,2
KBOS,CYYC,4
CYAV,CAV9,1
RJBB,RPLL,35
LICB,LIPX,4
KMTN,KDPA,1
KGEU,KCOS,1
EGGW,LEIB,9
KCOS,KPWA,3
KATL,SC51,2
MMES,KSDM,8
YADG,YPPF,7
KLCK,KPIE,2
TN83,"10TN",1
KGVL,KCZL,1
CYRQ,CSJ5,1
KSTP,MN32,1
KJYM,KMWO,1
KPHN,CNR9,1
"1PS9",KTTN,2
KDEN,"2MI5",3
LFRG,LJLJ,1
LTFJ,LEMD,9
YSBK,YMMB,5
KBKX,KMDS,1
KBTP,KTYS,1
KNSE,KNGS,1
EGLL,OKBK,2
"4VG2",KHEF,1
KPWK,KGYY,2
YPED,YAMB,1
EDVA,EDDV,2
KPDX,KLUK,1
MY46,"6MN8",1
PA21,KTEB,1
K49B,NE65,1
LEPA,LZKZ,1
"2KY1","00KY",1
KDAL,"52OR",1
KFPR,KFXE,3
KIAH,KJAX,9
EGGP,EGNH,6
KSBN,"9TN7",1
EDDK,LIMC,6
EDFH,VHHH,2
LJLJ,EBBR,6
MI68,MI68,1
EGLM,EGBP,3
EPKT,LKPR,3
KRFD,KSLC,3
"67FL",KSRQ,4
LEBL,EHEH,11
KSDF,KARR,1
KPUB,KDEN,14
NZWN,NZPP,1
K0D8,KFCM,1
LFPB,EGWE,1
LYBE,ESGG,5
WSSS,VIAR,4
KEQY,KCQW,1
TJSJ,CT19,3
LHBP,LGSA,1
KCVG,EHAM,1
KBJC,KCOS,12
KGSO,KSPI,1
LFTZ,LFMD,5
EDDP,LPFR,2
EDMS,EDDP,1
KISM,"22FA",1
KI69,KGEO,7
KTOL,"79FD",4
"5TN9",KLBO,1
KDAL,KOAK,14
KMHK,KFOE,1
"7FL6",FL48,1
"31MA","31MA",2
TE87,KTFP,2
NZHS,NZRK,2
LSZH,LFBD,9
LFTH,EGKK,2
EDVK,EDLW,1
VGTJ,VIDP,25
KABE,"21MO",1
SC52,K47A,1
"42VT","3NK5",1
KSVN,KRYY,1
RCTP,OMDB,5
KDEN,KPIR,12
KLAS,KU70,1
CYMX,CSC3,2
EGNR,EGCB,1
KDPA,KLUK,1
KMQS,KERI,1
KCLE,"06VA",1
WMKJ,VTBD,2
KDPA,NE59,1
KCXY,PN30,1
KMKE,KDBQ,1
LGMK,LSGG,3
PN48,PN48,11
KLWM,KEEN,4
KPDK,KPXE,2
K9X1,CYVR,5
"1AR8",K2M4,1
KANP,KOBI,1
KDCU,AL29,1
EDFQ,EDJA,2
EDRA,EDKV,1
KX26,KX50,1
"36II",KMQJ,1
KCCR,KSNA,7
TX81,KMSY,1
"5NK1",KROC,1
KLVK,KSTS,6
LTFM,WMKK,12
KPHL,FD20,2
LEBL,LFOB,12
KTPA,"7FD6",1
KEYE,KBMI,1
"8TN6",TN96,1
LHBP,LSGK,1
"78VA",KJAX,1
"43TX",KLAS,2
EHEH,LFML,2
MI23,K3BS,1
KFYV,AR91,2
"7TX7",TS73,1
KOEO,MN85,3
"22MD",KJYO,5
KPWK,"9WI8",1
KHOU,KCXO,1
KFOK,KPBI,2
MMMY,KUTA,1
EGSQ,EGMC,1
KHPN,LEMD,1
"7FL6","08FL",2
EGBJ,EGHJ,2
KORD,ZGSZ,2
PS23,KLEX,1
KOKC,KSTP,1
KSAT,KSFO,7
KJFK,KPWK,1
EKCH,EDLV,3
KMOD,KMHR,4
LEST,LECU,1
ENRK,ENHS,1
NY73,"4NK4",1
KRDD,KBFI,1
KEEN,"8MA4",2
"6OH7",KMKG,3
KLOT,KSDF,2
KIAD,KMSY,8
KRYW,"7TA5",1
OK59,KSDL,1
"07TE",KAPA,1
KCAK,KSTP,1
KPWK,"7MI2",1
KHOU,"3XS8",1
KNUQ,KACK,1
EIKY,EGBW,2
KBED,"36II",1
"5OK8",K1K4,1
KHQZ,"69TX",1
"4MI3",K9D9,1
LBWN,EDDP,1
MS30,"23LA",1
KSDL,KPHX,6
KBUY,KMGW,1
KAUN,KO27,3
CA16,KMYV,1
CYYZ,KBDL,4
EGMC,LEPA,7
KORD,VIDP,7
KPHX,KSLN,1
"5CT7",KBDR,2
KBUR,"60CL",10
KFXE,"0FL9",4
WSSS,VTCO,3
KCHD,"5AZ3",7
EKBI,EGPH,4
MI11,KADG,1
KO28,KO60,1
EDDN,LWSK,4
LDZB,LTFM,5
LEMD,LIEA,2
EPSY,EPKK,2
KT82,KIAD,1
KHIO,"6OR8",2
LTBA,LTBH,1
MU97,KEWR,1
K4B8,KN40,2
EKYT,LEGE,1
OMDB,EDDK,3
K7S9,"10OR",1
KHQZ,FL61,1
KOAK,KLAS,120
KINT,KEXX,5
EGJJ,EGLL,31
EGCC,LTFE,9
LGKO,EGCC,19
EGSS,EGPH,42
KN94,KN94,16
KF10,"1OK0",1
KDEN,KMDD,17
EDDV,LFPG,29
EHRD,LFMD,4
KSJT,"47XS",1
KDEN,VT01,1
K2R2,"50II",1
EDDM,LEAL,7
EGSS,LPPR,18
KJFK,KMCO,71
KDAB,KF45,1
KCLT,NY72,8
KPHX,KSFO,88
EDDB,EDDF,96
LTFM,EDDS,22
KLZU,KLZU,83
KAPA,KBJC,38
KSLC,KSTL,20
KMHT,KPHL,16
KPIA,KPIA,33
LEMD,LFBD,16
EDDS,EHAM,31
KAUS,KSEA,48
ID92,KBOI,1
KM54,SC70,1
K3O3,KHSD,2
KTOI,KEDN,6
CYYZ,KPHL,32
LFMD,LFMD,34
ESSN,ESSN,16
KJFK,CYYZ,58
KCMH,KTOL,4
KORD,KCMI,21
LFML,LFBD,30
RJFF,RCDI,2
KJFK,KBGM,1
KSAN,KAUS,38
KABQ,KLAX,42
KGYY,KMDW,5
LSGL,LDRG,1
KMSP,CYYZ,39
EDDN,LFMN,2
YBMC,YCXA,3
KCLE,KTPA,17
KFTW,"2TX7",1
SC95,KGMU,2
KPHX,KSLC,116
LEPA,EGBB,46
KPHL,KSTL,41
RJFF,RKSI,113
KATL,KMGM,27
"78TA",KEDC,1
EDDM,LDZL,14
EDDR,LTXE,2
EDDS,LTFJ,28
LEAL,EGCC,57
KGVL,KTYS,2
MMHO,MMMX,56
WMSA,WSSL,31
KSNA,KBCT,1
NC45,KJNX,6
LEMT,LECU,33
EDDK,EGNX,21
EBCI,LEIB,5
KPIE,NC03,2
"12XA",KE26,1
KSLC,KDAL,10
KBWI,KIND,11
KHWO,FL31,2
OR20,OR28,1
